Rank,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,"New York, NY",100,100,100,100,100,100
2,"Honolulu, HI",94.6,57.8,78.5,120.2,84.7,106.3
3,"San Francisco, CA",90.3,78.5,85.1,99.4,91.3,168.6
4,"Seattle, WA",85.5,60.8,74.7,94.2,87.2,171.5
5,"San Jose, CA",84,76,80.5,89.8,77.7,139.7
6,"Washington, DC",83.2,72.2,78.4,87.2,89.7,152.7
7,"Boston, MA",82.5,79.1,81,90.5,87.3,145
8,"Los Angeles, CA",76.9,63.2,70.9,82.5,83.2,124.2
9,"San Diego, CA",76.5,70,73.6,74.3,81.8,137.7
10,"Miami, FL",74.4,68,71.6,73.8,91.9,117.8
11,"Philadelphia, PA",73.9,41.3,59.7,86.1,69.9,143.5
12,"Sacramento, CA",73.9,49.6,63.3,81.8,68.1,136.1
13,"New Orleans, LA",71.6,40,57.8,74.8,86.4,132
14,"Denver, CO",71.5,50.9,62.5,77,70.8,159.3
15,"Chicago, IL",71.5,55.8,64.6,79.2,75.8,157.3
16,"Portland, OR",70.1,45.9,59.6,73.2,69.5,157.7
17,"Pittsburgh, PA",69.3,37.2,55.3,83.1,61,145.6
18,"Atlanta, GA",69.2,42.5,57.5,79.9,70.6,170.2
19,"Minneapolis, MN",69.1,37.5,55.3,81.1,70.4,159.1
20,"Colorado Springs, CO",68.1,40.1,55.9,74.3,70.4,149.5
21,"Spokane, WA",67.8,39,55.2,76.5,70.7,145.9
22,"Dallas, TX",67.8,45.1,57.9,71.2,68.9,162.7
23,"Tampa, FL",67.4,48.8,59.3,74.4,68.3,145.9
24,"Nashville, TN",67.2,51.6,60.4,74.8,66.8,144
25,"Baltimore, MD",67,42.9,56.5,77.7,66.2,139.5
26,"Columbus, OH",66.8,38.2,54.3,72.9,66.5,145
27,"Charlotte, NC",66.6,46.7,57.9,77.3,63.9,145.7
28,"Phoenix, AZ",66.4,39,54.4,69.4,69.3,149.8
29,"Raleigh, NC",66,43.1,56,74.9,64.1,157.2
30,"Saint Louis, MO",65.5,33.1,51.3,74.1,68.5,173.2
31,"Omaha, NE",65.3,39.5,54,70.6,66,148.4
32,"Fort Worth, TX",65,38.3,53.3,70.7,62.2,154.8
33,"Indianapolis, IN",64.9,39.6,53.8,66.3,72.2,169.3
34,"Madison, WI",64.8,42.4,55,71.9,61.3,156.5
35,"Las Vegas, NV",64.4,38.4,53,63.5,72.5,148.5
36,"Orlando, FL",64.2,42.6,54.8,71.4,68,150
37,"Kansas City, MO",64,31.5,49.8,72.1,67.2,160
38,"Detroit, MI",63,34.5,50.5,72.7,59.7,124.7
39,"Salt Lake City, UT",62.6,38.9,52.3,66.3,66,160.6
40,"Tucson, AZ",61.8,31.3,48.5,66,65.8,144.1
41,"Austin, TX",61.7,49.5,56.4,65.4,66.3,166.5
42,"Houston, TX",61.6,41.5,52.8,64.6,67.1,169.8
43,"Vancouver, WA",61.2,37.7,50.9,63.1,70.1,174.4
44,"Cleveland, OH",61.2,33.7,49.2,69.3,56.4,134.7
45,"Wichita, KS",60.9,26.9,46.1,68.1,55.9,155.3
46,"Jacksonville, FL",60.4,38.7,50.9,64.5,68.2,153.4
47,"San Antonio, TX",59,35.7,48.8,60.3,64.3,164.6
48,"Albuquerque, NM",58.9,31.3,46.8,67.5,64.1,165.8
49,"Cincinnati, OH",54.8,36.2,46.7,60.6,53.4,170.2
