AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,Alabama,2,AL,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"1,620",18.8,0.773,0.51,,,49.51,"102,970",4.0,29.72,36.63,50.68,61.66,71.14,"61,810","76,180","105,410","128,250","147,980",,
02,Alaska,2,AK,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,210,9.9,0.651,0.43,,,42.64,"88,690",3.7,22.92,26.94,37.21,56.00,64.98,"47,670","56,020","77,400","116,470","135,160",,
04,Arizona,2,AZ,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"4,080",14.1,1.275,0.84,,,54.07,"112,460",2.8,32.17,39.02,51.00,64.67,79.39,"66,910","81,170","106,080","134,510","165,120",,
05,Arkansas,2,AR,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,470,30.0,0.366,0.24,,,50.27,"104,560",6.0,27.80,39.60,50.15,60.28,78.90,"57,830","82,370","104,320","125,390","164,120",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"36,850",3.2,2.041,1.35,,,74.74,"155,450",3.2,35.29,47.34,65.77,85.33,106.29,"73,390","98,460","136,800","177,480","221,080",,
09,Connecticut,2,CT,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"1,630",9.9,0.972,0.64,,,57.82,"120,270",2.2,31.36,45.75,52.87,67.66,86.97,"65,220","95,160","109,960","140,740","180,890",,
10,Delaware,2,DE,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,540,8.5,1.129,0.75,,,*,*,*,*,*,*,*,*,*,*,*,*,*,,
11,District of Columbia,2,DC,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"3,580",13.4,5.047,3.33,,,71.24,"148,170",5.1,39.52,49.25,65.92,100.29,100.29,"82,210","102,440","137,120","208,600","208,600",,
12,Florida,2,FL,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"9,480",6.4,0.965,0.64,,,56.57,"117,670",2.6,28.58,38.29,50.88,65.16,93.04,"59,440","79,650","105,820","135,530","193,530",,
13,Georgia,2,GA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"7,730",4.5,1.591,1.05,,,53.38,"111,020",1.2,30.44,38.90,49.34,64.15,79.80,"63,320","80,920","102,630","133,430","165,980",,
